trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
608,10:12:00,10:12:00,70162,15,,0,0,46287.60767013,1
608,10:16:00,10:16:00,70172,16,,0,0,48298.98998482,1
608,10:19:00,10:19:00,70192,17,,0,0,50847.25988960,1
608,10:22:00,10:22:00,70202,18,,0,0,54786.94500055,1
608,10:25:00,10:25:00,70212,19,,0,0,57895.35927592,1
608,10:29:00,10:29:00,70222,20,,0,0,62207.87669606,1
608,10:33:00,10:33:00,70232,21,,0,0,65397.82046951,1
608,10:37:00,10:37:00,70242,22,,0,0,71287.50060100,1
608,10:44:00,10:44:00,70262,23,,0,0,75448.72622223,1
610,9:55:00,9:55:00,70012,1,,0,0,0.00000000,1
610,10:00:00,10:00:00,70022,2,,0,0,2521.94934933,1
610,10:04:00,10:04:00,70032,3,,0,0,7940.93034485,1
610,10:10:00,10:10:00,70042,4,,0,0,14613.27361600,1
610,10:13:00,10:13:00,70052,5,,0,0,17657.01202032,1
610,10:16:00,10:16:00,70062,6,,0,0,21733.69455401,1
610,10:19:00,10:19:00,70072,7,,0,0,24282.86652629,1
610,10:21:00,10:21:00,70082,8,,0,0,26043.38507674,1
610,10:24:00,10:24:00,70092,9,,0,0,28350.06083383,1
610,10:26:00,10:26:00,70102,10,,0,0,30499.05295888,1
610,10:29:00,10:29:00,70112,11,,0,0,31865.93060020,1
610,10:32:00,10:32:00,70122,12,,0,0,35199.25076625,1
610,10:34:00,10:34:00,70132,13,,0,0,37194.42283627,1
610,10:38:00,10:38:00,70142,14,,0,0,40687.04095794,1
610,10:42:00,10:42:00,70162,15,,0,0,46287.60767013,1
610,10:46:00,10:46:00,70172,16,,0,0,48298.98998482,1
610,10:49:00,10:49:00,70192,17,,0,0,50847.25988960,1
610,10:52:00,10:52:00,70202,18,,0,0,54786.94500055,1
610,10:55:00,10:55:00,70212,19,,0,0,57895.35927592,1
610,10:59:00,10:59:00,70222,20,,0,0,62207.87669606,1
610,11:03:00,11:03:00,70232,21,,0,0,65397.82046951,1
610,11:07:00,11:07:00,70242,22,,0,0,71287.50060100,1
610,11:15:00,11:15:00,70262,23,,0,0,75448.72622223,1
612,10:25:00,10:25:00,70012,1,,0,0,0.00000000,1
612,10:30:00,10:30:00,70022,2,,0,0,2521.94934933,1
612,10:34:00,10:34:00,70032,3,,0,0,7940.93034485,1
